"spp","state","month","day","year","source","odate"
"sora","indiana",4,28,"2010","birdstrikes",118
"vira","ontario",4,12,"2010","birdstrikes",102
"vira","illinois",4,7,"2011","birdstrikes",97
"vira","ontario",4,28,"2011","birdstrikes",118
"sora","illinois",4,15,"2012","birdstrikes",105
"sora","illinois",4,17,"2012","birdstrikes",107
"vira","illinois",4,6,"2012","birdstrikes",96
"vira","illinois",4,16,"2012","birdstrikes",106
"vira","illinois",4,20,"2012","birdstrikes",110
"vira","illinois",4,29,"2012","birdstrikes",119
"sora","illinois",4,15,"2012","birdstrikes",105
"sora","illinois",5,12,"1980","birdstrikes",132
"sora","illinois",5,10,"1984","birdstrikes",130
"sora","illinois",5,11,"1984","birdstrikes",131
"sora","illinois",5,11,"1984","birdstrikes",131
"sora","illinois",5,11,"1984","birdstrikes",131
"sora","illinois",5,6,"1985","birdstrikes",126
"sora","illinois",5,18,"1985","birdstrikes",138
"sora","illinois",5,17,"1986","birdstrikes",137
"sora","illinois",5,10,"1987","birdstrikes",130
"sora","illinois",5,11,"1987","birdstrikes",131
"vira","illinois",5,14,"1988","birdstrikes",134
"sora","illinois",5,2,"1992","birdstrikes",122
"sora","illinois",5,2,"1992","birdstrikes",122
"sora","illinois",5,12,"1992","birdstrikes",132
"sora","illinois",5,12,"1992","birdstrikes",132
"sora","illinois",5,9,"1994","birdstrikes",129
"sora","illinois",5,9,"1994","birdstrikes",129
"sora","illinois",5,9,"1994","birdstrikes",129
"vira","illinois",5,9,"1994","birdstrikes",129
"sora","illinois",5,1,"1996","birdstrikes",121
"sora","illinois",5,10,"1996","birdstrikes",130
"sora","illinois",5,20,"1996","birdstrikes",140
"vira","illinois",5,10,"1996","birdstrikes",130
"vira","illinois",5,18,"1996","birdstrikes",138
"sora","illinois",5,8,"1997","birdstrikes",128
"sora","illinois",5,9,"1997","birdstrikes",129
"sora","illinois",5,9,"2000","birdstrikes",129
"vira","illinois",5,9,"2000","birdstrikes",129
"sora","illinois",5,7,"2002","birdstrikes",127
"sora","illinois",5,9,"2002","birdstrikes",129
"vira","ontario",5,2,"2002","birdstrikes",122
"vira","ontario",5,2,"2002","birdstrikes",122
"vira","ontario",5,9,"2002","birdstrikes",129
"vira","ontario",5,19,"2002","birdstrikes",139
"vira","illinois",5,29,"2003","birdstrikes",149
"sora","ontario",5,8,"2003","birdstrikes",128
"sora","ontario",5,13,"2003","birdstrikes",133
"vira","ontario",5,1,"2003","birdstrikes",121
"vira","ontario",5,2,"2004","birdstrikes",122
"sora","illinois",5,10,"2005","birdstrikes",130
"sora","illinois",5,14,"2005","birdstrikes",134
"vira","ontario",5,15,"2005","birdstrikes",135
"sora","ontario",5,15,"2006","birdstrikes",135
"vira","ontario",5,2,"2006","birdstrikes",122
"vira","ontario",5,30,"2006","birdstrikes",150
"sora","illinois",5,2,"2007","birdstrikes",122
"sora","illinois",5,15,"2007","birdstrikes",135
"sora","illinois",5,20,"2007","birdstrikes",140
"sora","illinois",5,21,"2007","birdstrikes",141
"sora","illinois",5,23,"2007","birdstrikes",143
"vira","illinois",5,4,"2007","birdstrikes",124
"sora","minnesota",5,7,"2007","birdstrikes",127
"sora","minnesota",5,7,"2007","birdstrikes",127
"sora","minnesota",5,14,"2007","birdstrikes",134
"sora","minnesota",5,20,"2007","birdstrikes",140
"vira","ontario",5,5,"2007","birdstrikes",125
"sora","illinois",5,5,"2008","birdstrikes",125
"sora","illinois",5,6,"2008","birdstrikes",126
"vira","illinois",5,2,"2008","birdstrikes",122
"vira","illinois",5,12,"2008","birdstrikes",132
"vira","illinois",5,19,"2008","birdstrikes",139
"sora","minnesota",5,7,"2008","birdstrikes",127
"sora","minnesota",5,13,"2008","birdstrikes",133
"vira","ontario",5,4,"2008","birdstrikes",124
"vira","ontario",5,4,"2008","birdstrikes",124
"vira","ontario",5,4,"2008","birdstrikes",124
"vira","ontario",5,4,"2008","birdstrikes",124
"vira","ontario",5,4,"2008","birdstrikes",124
"sora","illinois",5,1,"2009","birdstrikes",121
"sora","illinois",5,9,"2009","birdstrikes",129
"sora","illinois",5,10,"2009","birdstrikes",130
"sora","illinois",5,13,"2009","birdstrikes",133
"sora","illinois",5,15,"2009","birdstrikes",135
"sora","illinois",5,2,"2009","birdstrikes",122
"sora","illinois",5,9,"2009","birdstrikes",129
"sora","minnesota",5,2,"2009","birdstrikes",122
"sora","minnesota",5,13,"2009","birdstrikes",133
"vira","ontario",5,4,"2009","birdstrikes",124
"sora","illinois",5,6,"2010","birdstrikes",126
"sora","illinois",5,7,"2010","birdstrikes",127
"sora","illinois",5,7,"2010","birdstrikes",127
"sora","illinois",5,9,"2010","birdstrikes",129
"sora","illinois",5,11,"2010","birdstrikes",131
"sora","minnesota",5,2,"2010","birdstrikes",122
"vira","minnesota",5,11,"2010","birdstrikes",131
"sora","illinois",5,1,"2011","birdstrikes",121
"sora","illinois",5,1,"2011","birdstrikes",121
"sora","illinois",5,5,"2011","birdstrikes",125
"sora","illinois",5,8,"2011","birdstrikes",128
"sora","illinois",5,10,"2011","birdstrikes",130
"sora","illinois",5,11,"2011","birdstrikes",131
"sora","illinois",5,13,"2011","birdstrikes",133
"sora","illinois",5,13,"2011","birdstrikes",133
"sora","illinois",5,15,"2011","birdstrikes",135
"vira","illinois",5,8,"2011","birdstrikes",128
"vira","illinois",5,15,"2011","birdstrikes",135
"vira","illinois",5,22,"2011","birdstrikes",142
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",5,1,"2011","birdstrikes",121
"vira","wisconsin",5,9,"2011","birdstrikes",129
"vira","ontario",5,3,"2011","birdstrikes",123
"sora","illinois",5,3,"2012","birdstrikes",123
"sora","illinois",5,4,"2012","birdstrikes",124
"sora","illinois",5,27,"2012","birdstrikes",147
"sora","illinois",5,4,"2012","birdstrikes",124
"sora","ontario",6,2,"2003","birdstrikes",153
"sora","illinois",6,1,"2008","birdstrikes",152
"sora","illinois",8,17,"1982","birdstrikes",229
"sora","illinois",8,17,"1982","birdstrikes",229
"sora","illinois",8,17,"1982","birdstrikes",229
"sora","illinois",8,21,"1982","birdstrikes",233
"sora","illinois",8,31,"1984","birdstrikes",243
"sora","illinois",8,31,"1984","birdstrikes",243
"sora","illinois",8,28,"1985","birdstrikes",240
"sora","illinois",8,29,"1985","birdstrikes",241
"sora","illinois",8,23,"1986","birdstrikes",235
"sora","illinois",8,25,"1988","birdstrikes",237
"sora","illinois",8,25,"1988","birdstrikes",237
"sora","illinois",8,26,"1988","birdstrikes",238
"sora","illinois",8,30,"1991","birdstrikes",242
"vira","illinois",8,31,"1991","birdstrikes",243
"sora","illinois",8,30,"1992","birdstrikes",242
"sora","illinois",8,31,"1992","birdstrikes",243
"sora","illinois",8,16,"1993","birdstrikes",228
"sora","illinois",8,20,"1993","birdstrikes",232
"sora","illinois",8,14,"1994","birdstrikes",226
"sora","illinois",8,25,"1994","birdstrikes",237
"sora","illinois",8,26,"1994","birdstrikes",238
"sora","illinois",8,26,"1994","birdstrikes",238
"sora","illinois",8,26,"1994","birdstrikes",238
"sora","illinois",8,28,"1994","birdstrikes",240
"sora","illinois",8,28,"1994","birdstrikes",240
"sora","illinois",8,30,"1994","birdstrikes",242
"sora","illinois",8,31,"1994","birdstrikes",243
"sora","illinois",8,29,"1995","birdstrikes",241
"sora","illinois",8,31,"1995","birdstrikes",243
"sora","illinois",8,31,"1995","birdstrikes",243
"sora","illinois",8,31,"1995","birdstrikes",243
"sora","illinois",8,31,"1995","birdstrikes",243
"sora","illinois",8,31,"1995","birdstrikes",243
"sora","illinois",8,31,"1995","birdstrikes",243
"sora","illinois",8,25,"1996","birdstrikes",237
"sora","illinois",8,25,"1998","birdstrikes",237
"sora","illinois",8,29,"1998","birdstrikes",241
"sora","illinois",8,29,"1998","birdstrikes",241
"sora","illinois",8,31,"2001","birdstrikes",243
"sora","illinois",8,31,"2001","birdstrikes",243
"sora","ontario",8,30,"2001","birdstrikes",242
"sora","illinois",8,30,"2005","birdstrikes",242
"sora","illinois",8,29,"2005","birdstrikes",241
"sora","illinois",8,25,"2006","birdstrikes",237
"sora","illinois",8,24,"2006","birdstrikes",236
"sora","illinois",8,25,"2006","birdstrikes",237
"vira","ontario",8,12,"2006","birdstrikes",224
"sora","illinois",8,25,"2007","birdstrikes",237
"sora","illinois",8,19,"2009","birdstrikes",231
"sora","illinois",8,21,"2009","birdstrikes",233
"sora","illinois",8,26,"2009","birdstrikes",238
"vira","ontario",8,24,"2009","birdstrikes",236
"sora","illinois",8,10,"2010","birdstrikes",222
"sora","illinois",8,27,"2010","birdstrikes",239
"sora","illinois",8,27,"2011","birdstrikes",239
"sora","illinois",8,27,"2011","birdstrikes",239
"sora","illinois",8,29,"2011","birdstrikes",241
"sora","illinois",9,12,"1979","birdstrikes",255
"sora","illinois",9,2,"1980","birdstrikes",245
"sora","illinois",9,2,"1980","birdstrikes",245
"sora","illinois",9,17,"1980","birdstrikes",260
"sora","illinois",9,10,"1981","birdstrikes",253
"vira","illinois",9,28,"1981","birdstrikes",271
"sora","illinois",9,7,"1982","birdstrikes",250
"sora","illinois",9,6,"1983","birdstrikes",249
"sora","illinois",9,6,"1983","birdstrikes",249
"sora","illinois",9,7,"1983","birdstrikes",250
"sora","illinois",9,19,"1984","birdstrikes",262
"vira","illinois",9,25,"1984","birdstrikes",268
"sora","illinois",9,8,"1985","birdstrikes",251
"sora","illinois",9,6,"1986","birdstrikes",249
"sora","illinois",9,12,"1986","birdstrikes",255
"sora","illinois",9,24,"1986","birdstrikes",267
"sora","illinois",9,1,"1987","birdstrikes",244
"sora","illinois",9,3,"1988","birdstrikes",246
"sora","illinois",9,20,"1988","birdstrikes",263
"sora","illinois",9,20,"1988","birdstrikes",263
"sora","illinois",9,20,"1988","birdstrikes",263
"sora","illinois",9,20,"1988","birdstrikes",263
"vira","illinois",9,20,"1988","birdstrikes",263
"sora","illinois",9,5,"1990","birdstrikes",248
